date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:13	1204/1204	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Jul%202026%2013:24:14%20GMT	https://bugatti.store/robots.txt		(from )
18:24:15	363575/363575	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jul%202026%2013:24:14%20GMT	https://bugatti.store/	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/index.html	(from )
18:24:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:16%20GMT	http://bugatti.store/cdn/shop/files/bugatti-favicon.png?crop=center&height=32&v=1731060232&width=32	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/files/bugatti-favicon.03fc0.delayed	(from https://bugatti.store/)
18:24:16	1208/1208	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202026%2016:51:02%20GMT	https://bugatti.store/cdn/shop/files/bugatti-favicon.png?crop=center&height=32&v=1731060232&width=32	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/files/bugatti-favicon3fc0.png	(from https://bugatti.store/)
18:24:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:17%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n4.b2a3f24c19b4de56e8871f609e73ca7f6d2e2bb9.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n4.b2a3f24c19b4de56e8871f609e73ca7f6d2e2bb9.woff2	(from https://bugatti.store/)
18:24:16	38848/38848	---M--	200	added ('OK')	font/woff2	date:Fri,%2010%20Jul%202026%2003:03:52%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n4.b2a3f24c19b4de56e8871f609e73ca7f6d2e2bb9.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n4.b2a3f24c19b4de56e8871f609e73ca7f6d2e2bb9.woff2	(from https://bugatti.store/)
18:24:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:17%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n4.af8052d517e0c9ffac7b814872cecc27ae1fa132.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n4.af8052d517e0c9ffac7b814872cecc27ae1fa132.woff	(from https://bugatti.store/)
18:24:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:19%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n5.d7101d5e168594dd06f56f290dd759fba5431d97.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n5.d7101d5e168594dd06f56f290dd759fba5431d97.woff2	(from https://bugatti.store/)
18:24:19	38812/38812	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Jul%202026%2023:38:54%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n4.af8052d517e0c9ffac7b814872cecc27ae1fa132.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n4.af8052d517e0c9ffac7b814872cecc27ae1fa132.woff	(from https://bugatti.store/)
18:24:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:20%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n5.5332a76bbd27da00474c136abb1ca3cbbf259068.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n5.5332a76bbd27da00474c136abb1ca3cbbf259068.woff	(from https://bugatti.store/)
18:24:20	39512/39512	---M--	200	added ('OK')	font/woff2	date:Fri,%2010%20Jul%202026%2002:08:39%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n5.d7101d5e168594dd06f56f290dd759fba5431d97.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n5.d7101d5e168594dd06f56f290dd759fba5431d97.woff2	(from https://bugatti.store/)
18:24:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:22%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n7.02711e6b374660cfc7915d1afc1c204e633421e4.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n7.02711e6b374660cfc7915d1afc1c204e633421e4.woff2	(from https://bugatti.store/)
18:24:22	39604/39604	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Jul%202026%2022:53:27%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n5.5332a76bbd27da00474c136abb1ca3cbbf259068.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n5.5332a76bbd27da00474c136abb1ca3cbbf259068.woff	(from https://bugatti.store/)
18:24:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:23%20GMT	http://bugatti.store/cdn/fonts/inter/inter_n7.6dab87426f6b8813070abd79972ceaf2f8d3b012.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n7.6dab87426f6b8813070abd79972ceaf2f8d3b012.woff	(from https://bugatti.store/)
18:24:23	39372/39372	---M--	200	added ('OK')	font/woff2	date:Sat,%2011%20Jul%202026%2023:26:50%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n7.02711e6b374660cfc7915d1afc1c204e633421e4.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n7.02711e6b374660cfc7915d1afc1c204e633421e4.woff2	(from https://bugatti.store/)
18:24:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:24%20GMT	http://bugatti.store/cdn/fonts/inter/inter_i4.feae1981dda792ab80d117249d9c7e0f1017e5b3.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i4.feae1981dda792ab80d117249d9c7e0f1017e5b3.woff2	(from https://bugatti.store/)
18:24:24	39620/39620	---M--	200	added ('OK')	font/woff2	date:Fri,%2010%20Jul%202026%2002:51:12%20GMT	https://bugatti.store/cdn/fonts/inter/inter_n7.6dab87426f6b8813070abd79972ceaf2f8d3b012.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_n7.6dab87426f6b8813070abd79972ceaf2f8d3b012.woff	(from https://bugatti.store/)
18:24:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:25%20GMT	http://bugatti.store/cdn/fonts/inter/inter_i4.62773b7113d5e5f02c71486623cf828884c85c6e.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i4.62773b7113d5e5f02c71486623cf828884c85c6e.woff	(from https://bugatti.store/)
18:24:25	41776/41776	---M--	200	added ('OK')	font/woff2	date:Fri,%2017%20Jul%202026%2021:32:18%20GMT	https://bugatti.store/cdn/fonts/inter/inter_i4.feae1981dda792ab80d117249d9c7e0f1017e5b3.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i4.feae1981dda792ab80d117249d9c7e0f1017e5b3.woff2	(from https://bugatti.store/)
18:24:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:26%20GMT	http://bugatti.store/cdn/fonts/inter/inter_i7.b377bcd4cc0f160622a22d638ae7e2cd9b86ea4c.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i7.b377bcd4cc0f160622a22d638ae7e2cd9b86ea4c.woff2	(from https://bugatti.store/)
18:24:26	41812/41812	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Jul%202026%2004:01:36%20GMT	https://bugatti.store/cdn/fonts/inter/inter_i4.62773b7113d5e5f02c71486623cf828884c85c6e.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i4.62773b7113d5e5f02c71486623cf828884c85c6e.woff	(from https://bugatti.store/)
18:24:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:28%20GMT	http://bugatti.store/cdn/fonts/inter/inter_i7.7c69a6a34e3bb44fcf6f975857e13b9a9b25beb4.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i7.7c69a6a34e3bb44fcf6f975857e13b9a9b25beb4.woff	(from https://bugatti.store/)
18:24:28	42728/42728	---M--	200	added ('OK')	font/woff2	date:Tue,%2007%20Jul%202026%2002:54:58%20GMT	https://bugatti.store/cdn/fonts/inter/inter_i7.b377bcd4cc0f160622a22d638ae7e2cd9b86ea4c.woff2	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i7.b377bcd4cc0f160622a22d638ae7e2cd9b86ea4c.woff2	(from https://bugatti.store/)
18:24:29	42780/42780	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Jul%202026%2001:46:59%20GMT	https://bugatti.store/cdn/fonts/inter/inter_i7.7c69a6a34e3bb44fcf6f975857e13b9a9b25beb4.woff	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/fonts/inter/inter_i7.7c69a6a34e3bb44fcf6f975857e13b9a9b25beb4.woff	(from https://bugatti.store/)
18:24:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:30%20GMT	http://bugatti.store/cdn/shop/t/16/assets/theme.css?v=118658835194027525371784209969	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/t/16/assets/themea574.css	(from https://bugatti.store/)
18:24:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:32%20GMT	http://bugatti.store/cdn/shop/t/16/assets/apps.css?v=162097722211979372921784209969	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/t/16/assets/appsc78e.css	(from https://bugatti.store/)
18:24:33	295989/295989	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jul%202026%2017:17:02%20GMT	https://bugatti.store/cdn/shop/t/16/assets/theme.css?v=118658835194027525371784209969	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/t/16/assets/themea574.css	(from https://bugatti.store/)
18:24:33	56426/56426	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jul%202026%2015:20:31%20GMT	https://bugatti.store/cdn/shop/t/16/assets/apps.css?v=162097722211979372921784209969	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shop/t/16/assets/appsc78e.css	(from https://bugatti.store/)
18:24:33	9114/9114	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2025%20Jul%202026%2013:24:34%20GMT	https://bugatti.store/checkouts/internal/preloads.js?locale=en-PK	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/checkouts/internal/preloads2b31.js	(from https://bugatti.store/)
18:24:34	0/0	---M--	200	added ('OK')	application/javascript	date:Sat,%2025%20Jul%202026%2013:24:34%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-PK&shop_id=88707268955	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/shop.app/checkouts/internal/preloads.1b8b2a.delayed	(from https://bugatti.store/)
18:24:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Jul%202026%2013:24:35%20GMT	http://bugatti.store/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	F:/DATUM%20WEB%20CLONES/DATUM%20DAHLEEZ/bugati/F__DATUM%20WEB%20CLONES_DATUM%20DAHLEEZ_bugati/bugatti.store/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	(from https://bugatti.store/)
